"","USD INVESTMENT BRACKETS","","","","Advocate for 2% fee as you're going to do extra service for clients on way in and will handle management to enable the fund to scale light, outsourcing frontend client service to my company","","","","","","","","","","","To actually make this work, a lot of processes need to happen on the front end","","","","","","","","",""
"Figure out how to pass","","Month 9","60,000","0.01","600","720","1526.4","2430","","","","","","","","","","","","","","","","",""
"On Lower Intake Gas Fees","","Month 7.5","15,000","0.01","150","180","381.6","607","","","","","","","","","","","","","","","","",""
">>>","","Month 8.5","15,000","0.01","150","180","381.6","607","","","","","","","","","","","","","","","","",""
"","","Month 9.5","22,500","0.01","225","270","572.4","911","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","My Running Totals >>>","","COMMISSION","CARRY","","","1970's Mercedes SL Fund","","","","","","","","","","","","","","","",""
"","THE SETUP","","","Invested Capital","Upfront","Y1","Y2","Y3","3 Year Take","Running Total","","","","","","","","","","","","","","",""
"","","","Months 1 - 3","72,500","925","1740","4706","7491","$14,862.57","$14,862.57","<<< Look at difference when we default to highest carry","","","","","","","","","","","","","",""
"","","","Months 4 - 6","125,000","1250","3000","6360","10123","$20,733.20","$35,595.77","","","","","","","","","","","","","","",""
"","","","Months 7 - 9","187,500","1875","4500","9540","15185","$31,099.80","$66,695.57","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Amount Funded","Correct Gas (Manual)","COMMISSION","Carry Y1","Y2","Y3","","","","","","","","","","","","","","","","",""
"","","Month 1","10,000","0.01","100","240","508.8","810","","","","","","","","","","","","","","","","",""
"","","Month 1","10,000","0.01","100","240","508.8","810","","","","","","","","","","","","","","","","",""
"","","Month 2","15,000","0.01","150","360","763.2","1215","","","","","","","","","","","","","","","","",""
"","","Month 3","20,000","0.01","200","480","1017.6","1620","","","","","","","","","","","","","","","","",""
"","","Month 1.5","5,000","0.01","50","120","254.4","405","","","","","","","","","","","","","","","","",""
"","","Month 2.5","5,000","0.01","50","120","254.4","405","","","","","","","","","","","","","","","","",""
"","","Month 3.5","7,500","0.01","75","180","381.6","607","","","","","","","","","","","","","","","","",""
"","","Month 4","20,000","0.01","200","480","1017.6","1620","","","","","","","","","","","","","","","","",""
"","","Month 5","30,000","0.01","300","720","1526.4","2430","","","","","","","","","","","","","","","","",""
"","","Month 6","40,000","0.01","400","960","2035.2","3239","","","","","","","","","","","","","","","","",""
"","","Month 4.5","10,000","0.01","100","240","508.8","810","","","","","","","","","","","","","","","","",""
"","","Month 5.5","10,000","0.01","100","240","508.8","810","","","","","","","","","","","","","","","","",""
"","","Month 6.5","15,000","0.01","150","360","763.2","1215","","","","","","","","","","","","","","","","",""
"","","Month 7","30,000","0.01","300","720","1526.4","2430","","","","","","","","","","","","","","","","",""
"","","Month 8","45,000","0.01","450","1080","2289.6","3644","","","","","","","","","","","","","","","","",""
"","","Month 9","60,000","0.01","600","1440","3052.8","4859","","","","","","","","","","","","","","","","",""
"","","Month 7.5","15,000","0.01","150","360","763.2","1215","","","","","","","","","","","","","","","","",""
"","","Month 8.5","15,000","0.01","150","360","763.2","1215","","","","","","","","","","","","","","","","",""
"","","Month 9.5","22,500","0.01","225","540","1144.8","1822","","","","","","","","","","","","","","","","",""
